min_knee_angle,torso_tilt_min,torso_tilt_max,torso_tilt_mean,hip_knee_align_mean_deg,heel_lift_max_norm
56.167,137.217,178.576,153.23,110.689,0.015
58.515,143.754,177.951,166.118,145.368,0.0
51.149,147.366,174.899,159.368,155,0.029
50.43,144.097,177.866,158.292,113.469,0.037
66.5,136.442,176.043,155.952,111.981,0.036
70.85,139.547,179.005,153.381,146.161,0.0
59.424,144.801,178.55,163.293,148.432,0.0
68.028,138.877,176.59,160.293,110.589,0.0
62.893,142.331,177.229,154.84,112.437,0.038
54.839,143.324,176.411,154.82,114.928,0.062
62.891,138.219,177.906,158.657,95.8,0.0
72.304,140.821,179.433,166.676,103.464,0.265
59.713,135,176.521,158.962,101.925,0.0
72.517,137.927,178.756,153.987,106.18,0.039
45,140.242,177.205,159.017,119.376,0.025
66.575,137.257,176.811,158.909,124.216,0.347
60.696,145.897,177.839,150,147.909,0.049
57.608,136.71,176.447,159.783,102.03,0.054
60.734,139.68,177.17,159.076,137.718,0.005
45,141.392,176.203,162.785,116.148,0.042
58.243,145.324,180,167.396,119.11,0.0
62.857,136.692,178.053,164.506,132.147,0.256
71.823,144.489,176.95,158.924,99.791,0.044
55.854,141.031,178.321,155.574,126.883,0.024
53.532,138.055,177.832,170,122.996,0.058
55.986,142.386,177.669,160.237,128.864,0.027
67.323,141.597,178.921,160.056,125.205,0.033
62.63,139.199,179.136,159.903,155,0.027
55.762,141.209,177.204,160.792,108.521,0.0
64.106,139.844,177.136,159.423,110.442,0.0
60.777,141.341,177.587,157.705,108.783,0.0
67.749,142.986,174.547,157.813,110.001,0.0
54.384,145.758,175.727,159.869,108.527,0.313
57.379,137.287,180,157.826,141.402,0.0
56.863,147.399,180,157.149,145.569,0.33
48.292,135.144,177.626,160.426,109.727,0.03
62.369,140.545,178.865,158.98,105.018,0.0
62.088,142.765,178.467,166.016,128.485,0.008
60.041,141.843,180,150,110.06,0.001
58.123,139.132,179.679,164.366,131.393,0.062
48.677,140.376,177.808,164.984,123.653,0.013
56.635,139.521,176.567,151.706,92.717,0.01
57.258,139.232,175.59,158.629,147.855,0.0
53.582,143.549,178.305,158.514,152.326,0.159
58.71,142.071,176.865,154.37,108.97,0.155
63.232,138.921,175.867,156.889,113.021,0.0
75.089,143.699,177.03,155.558,125.146,0.0
61.397,141.922,176.378,167.009,126.02,0.017
62.06,143.439,180,163.743,131.854,0.0
59.404,142.889,179.322,165.086,155,0.0
45,138.513,177.988,162.887,116.815,0.0
59.788,139.319,180,155.484,105.631,0.004
60.482,143.242,178.116,157.902,95.172,0.259
79.706,142.831,176.708,161.957,106.843,0.063
58.461,140.937,180,155.111,119.404,0.05
62.412,141.352,178.808,162.852,152.302,0.016
59.722,144.833,176.444,159.039,110.683,0.075
50.651,139.225,177.714,158.501,124.028,0.05
69.143,142.641,176.687,162.844,119.704,0.207
66.015,140.393,175.926,161.777,141.391,0.0
66.328,140.347,179.389,158.556,155,0.318
52.725,144.296,180,164.637,110.444,0.024
71.222,143.476,175.902,155.676,111.19,0.0
48.785,143.441,178.844,162.464,138.795,0.076
64.695,144.916,177.024,162.372,132.274,0.002
77.524,141.063,177.269,158.762,153.241,0.334
52.076,143.046,177.111,161.305,130.511,0.192
55.47,140.069,176.704,154.996,113.533,0.0
60.797,141.972,178.073,163.696,130.632,0.0
55.972,140.61,176.754,159.26,139.957,0.05
47.595,141.291,178.406,157.909,134.769,0.162
60.549,142.785,177.925,164.196,129.131,0.0
51.502,138.545,177.642,157.183,139.2,0.079
63.789,147.277,176.639,154.366,141.047,0.058
52.645,137.982,177.135,153.773,144.879,0.041
72.399,137.357,179.133,162.424,131.677,0.0
53.734,144.474,178.751,154.878,116.992,0.042
57.424,143.375,176.534,167.019,122.641,0.303
66.508,142.872,178.149,151.672,141.717,0.0
50.153,142.885,179.127,166.786,105.295,0.0
61.82,140.963,175.496,160.844,126.636,0.171
70.457,138.308,178.815,159.613,112.92,0.0
47.14,141.227,177.006,157.82,120.517,0.314
61.477,138.969,178.856,161.597,143.012,0.047
62.079,143.925,176.855,159.849,123.44,0.0
66.255,140.559,175.293,164.413,120.836,0.21
50.104,138.524,175.559,160.457,95.523,0.045
49.436,140.036,178.072,160.601,133.433,0.036
64.176,142.239,178.39,158.546,131.619,0.032
62.376,139.309,176.644,159.772,155,0.029
62.004,138.533,178.958,161.231,114.46,0.0
62.772,141.731,175.508,153.159,123.945,0.015
54.56,141.735,177.901,154.607,124.489,0.274
61.858,139.479,176.183,162.973,148.394,0.0
62.345,139.587,177.022,160.683,118.285,0.024
54.285,141.696,178.071,159.264,125.022,0.0
74.926,136.656,176.709,160.074,130.942,0.028
63.791,136.778,177.423,161.39,123.359,0.0
50.47,138.845,179.509,157.841,111.964,0.125
65.252,140.36,177.135,156.887,123.494,0.01
52.203,141.933,179.254,160.783,139.325,0.0
66.297,145.426,176.305,156.087,101.523,0.0
69.269,143.573,178.795,161.633,122.393,0.0
53.435,140.52,180,153.19,107.398,0.008
67.707,140.943,174.293,164.117,141.511,0.034
63.302,137.992,176.805,161.89,92.583,0.058
66.576,140.944,178.866,161.024,109.939,0.048
75.174,140.134,177.695,163.931,126.79,0.0
58.037,141.968,178.557,166.662,148.179,0.0
53.97,138.518,177.094,164.057,118.816,0.01
52.884,142.558,178.13,152.637,110.006,0.0
53.474,145.598,177.766,154.882,153.861,0.0
59.383,140.674,179.752,157.501,93.936,0.0
62.729,142.205,178.382,160.104,85,0.049
62.214,143.07,178.506,162.071,127.92,0.01
66.617,139.796,177.382,157.097,110.963,0.026
60.104,141.672,177.269,160.747,101.618,0.041
71.628,141.038,177.351,156.978,132.75,0.011
57.883,141.293,178.592,157.554,124.388,0.032
81.761,138.681,177.369,154.373,109.847,0.262
65.005,141.074,178.435,156.307,96.955,0.0
53.143,142.494,180,154.593,135.704,0.0
51.433,145.353,179.307,156.097,131.704,0.0
63.86,143.878,177.511,164.215,118.215,0.00
58.212,147.46,179.802,156.202,153.239,0.003
65.712,138.698,177.388,170,100.738,0.217
63.786,143.617,174.943,161.973,92.541,0.0
59.417,141.55,176.488,160.739,107.546,0.0
53.226,147.569,175.194,156.567,119.179,0.018
47.881,138.575,177.473,162.801,124.38,0.253
